Book_Name,Author,5_star,Ratings,Reviews
The Great Gatsby,F. Scott Fitzgerald,3.93,"4,773,470","91,641"
Animal Farm,George Orwell,3.98,"3,520,003","81,701"
The Hobbit,J.R.R. Tolkien,4.28,"3,611,637","62,444"
1984,George Orwell,4.19,"4,133,185","98,842"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"9,157,137","144,751"
Fahrenheit 451,Ray Bradbury,3.97,"2,181,141","64,698"
The Little Prince,Antoine de Saint-Exupéry,4.32,"1,889,960","58,307"
The Catcher in the Rye,J.D. Salinger,3.81,"3,281,078","75,101"
To Kill a Mockingbird,Harper Lee,4.27,"5,622,158","108,687"
Brave New World,Aldous Huxley,3.99,"1,722,477","41,365"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,"2,592,565","29,144"
One Hundred Years of Solitude,Gabriel García Márquez,4.11,"900,720","40,096"
Gone with the Wind,Margaret Mitchell,4.30,"1,173,594","22,819"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,"3,745,454","73,668"
The Grapes of Wrath,John Steinbeck,4.00,"856,807","21,432"
Of Mice and Men,John Steinbeck,3.88,"2,367,052","45,695"
Winnie-the-Pooh,A.A. Milne,4.35,"311,371","6,272"
Book_Name,Author,Average_star,Ratings,Reviews,5_Star,4_Star,3_Star,2_Star,1_Star
To Kill a Mockingbird,Harper Lee,4.27,"5,623,473","108,722","2,927,118","1,669,471","730,317","192,620","103,947"
1984,George Orwell,4.19,"4,134,439","98,891","1,956,290","1,345,678","588,373","158,757","85,341"
Fahrenheit 451,Ray Bradbury,3.97,"2,181,792","64,728","788,776","777,014","438,256","123,939","53,807"
Animal Farm,George Orwell,3.98,"3,521,050","81,746","1,310,631","1,229,834","676,221","200,989","103,375"
The Hobbit,J.R.R. Tolkien,4.28,"3,612,605","62,476","1,930,001","1,047,617","439,072","118,631","77,284"
The Great Gatsby,F. Scott Fitzgerald,3.93,"4,774,679","91,681","1,702,844","1,608,845","1,014,721","311,433","136,836"
The Little Prince,Antoine de Saint-Exupéry,4.32,"1,890,643","58,347","1,070,152","487,096","232,936","67,295","33,164"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"9,159,410","144,817","5,943,341","2,105,678","775,153","178,627","156,611"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,"2,593,110","29,154","1,265,898","811,611","397,005","84,976","33,620"
The Catcher in the Rye,J.D. Salinger,3.81,"3,281,751","75,132","1,124,392","1,010,070","698,934","282,612","165,743"
The Grapes of Wrath,John Steinbeck,4.00,"856,950","21,440","357,255","261,952","148,058","56,323","33,362"
Brave New World,Aldous Huxley,3.99,"1,722,873","41,385","631,061","617,469","340,304","93,701","40,338"
One Hundred Years of Solitude,Gabriel García Márquez,4.11,"900,926","40,111","440,612","240,655","130,194","53,516","35,949"
Winnie-the-Pooh,A.A. Milne,4.35,"311,415","6,275","177,949","82,747","37,400","8,340","4,979"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,"3,746,625","73,707","2,564,920","866,053","259,277","36,161","20,214"
A Portrait of the Artist as a Young Man,James Joyce,3.63,"143,766","6,770","37,836","46,263","36,585","15,028","8,054"
Of Mice and Men,John Steinbeck,3.88,"2,367,625","45,722","778,137","827,480","533,239","161,560","67,209"
And Then There Were None,Agatha Christie,4.28,"1,186,665","53,828","595,958","390,862","151,533","30,604","17,708"
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"380,674","13,561","159,754","142,687","61,748","12,481","4,004"
Gone with the Wind,Margaret Mitchell,4.30,"1,173,715","22,827","663,438","298,257","143,524","41,914","26,582"
Blindness,José Saramago,4.16,"260,849","21,363","115,886","91,567","37,693","11,076","4,627"
To the Lighthouse,Virginia Woolf,3.80,"165,022","10,947","53,141","52,830","37,975","14,407","6,669"
The Things They Carried,Tim O'Brien,4.14,"291,580","17,169","124,532","103,613","46,593","12,338","4,504"
Franny and Zooey,J.D. Salinger,3.97,"209,328","8,759","74,646","72,871","45,481","12,663","3,667"
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,"332,059","8,178","135,306","115,356","58,355","16,217","6,825"
The Red Tent,Anita Diamant,4.19,"574,671","21,033","274,499","183,143","82,203","23,412","11,414"
Sophie's Choice,William Styron,4.18,"88,118","2,863","40,542","29,288","13,137","3,501","1,650"
The Hound of the Baskervilles,Arthur Conan Doyle,4.13,"319,520","11,029","123,980","126,792","57,747","8,758","2,243"
A Game of Thrones,George R.R. Martin,4.44,"2,334,459","60,017","1,433,639","627,863","184,553","49,550","38,854"
Lonesome Dove,Larry McMurtry,4.51,"174,424","9,982","114,713","41,071","13,874","3,065","1,701"
The Alienist,Caleb Carr,4.06,"167,217","8,189","63,699","63,068","29,935","7,450","3,065"
The Phantom Tollbooth,Norton Juster,4.19,"273,957","12,324","134,912","80,599","40,561","11,674","6,211"
The Notebook,Nicholas Sparks,4.14,"1,581,983","23,213","775,941","430,835","241,332","82,123","51,752"
I Know This Much Is True,Wally Lamb,4.20,"305,302","9,910","142,395","102,053","45,033","10,982","4,839"
Neuromancer,William Gibson,3.90,"305,110","12,377","110,699","99,040","61,012","22,328","12,031"
A People's History of the United States,Howard Zinn,4.07,"230,427","6,697","107,607","66,571","33,206","11,538","11,505"
The Cat in the Hat,Dr. Seuss,4.18,"510,918","6,739","262,420","127,957","84,000","23,497","13,044"
